synthetic_k,repetition,candidate_group_id,controller,output_handling_ms,certificate_filtering_ms,projection_ms,total_ms,fallback,safe_candidate_ratio,action_distance,raw_idx,exec_idx
5,0,0,PF,0.001800013706088,0.0132001005113124,0.0010000076144933,0.0160001218318939,0.0,0.6,0.0,2,2
5,0,0,Greedy-SLA,0.0016000121831893,0.0129998661577701,0.0009001232683658,0.0155000016093254,0.0,0.6,0.0,4,4
5,0,0,DT-Top1,0.0015001278370618,0.0130999833345413,0.020399922505021,0.0350000336766243,0.0,0.6,21.0,0,2
5,0,1,PF,0.001800013706088,0.0128999818116426,0.0010000076144933,0.015700003132224,0.0,0.6,0.0,2,2
5,0,1,Greedy-SLA,0.0025001354515552,0.0205000396817922,0.0014998950064182,0.0245000701397657,0.0,0.6,0.0,4,4
5,0,1,DT-Top1,0.0024999026209115,0.0205999240279197,0.031700124964118,0.0547999516129493,0.0,0.6,21.0,0,2
5,0,2,PF,0.0030000228434801,0.0205000396817922,0.0016000121831893,0.0251000747084617,0.0,0.6,0.0,2,2
5,0,2,Greedy-SLA,0.0023997854441404,0.0204001553356647,0.0014998950064182,0.0242998357862234,0.0,0.6,0.0,4,4
5,0,2,DT-Top1,0.0024999026209115,0.0201999209821224,0.0017001293599605,0.0243999529629945,0.0,0.6,0.0,4,4
5,0,3,PF,0.0029001384973526,0.0205000396817922,0.0014998950064182,0.024900073185563,0.0,0.6,0.0,2,2
5,0,3,Greedy-SLA,0.0026000197976827,0.0202998053282499,0.0016000121831893,0.024499837309122,0.0,0.6,0.0,4,4
5,0,3,DT-Top1,0.002400018274784,0.0201999209821224,0.0320998951792717,0.0546998344361782,0.0,0.6,21.0,0,2
5,0,4,PF,0.0029997900128364,0.020800158381462,0.0014998950064182,0.0252998434007167,0.0,0.6,0.0,2,2
5,0,4,Greedy-SLA,0.0025001354515552,0.0205999240279197,0.0318000093102455,0.0549000687897205,0.0,0.6,21.0,0,2
5,0,4,DT-Top1,0.0024999026209115,0.0204001553356647,0.0303999986499547,0.0533000566065311,0.0,0.6,21.0,0,2
5,0,5,PF,0.0030000228434801,0.0208998098969459,0.0016000121831893,0.0254998449236154,0.0,0.6,0.0,2,2
5,0,5,Greedy-SLA,0.0026000197976827,0.0209000427275896,0.0015001278370618,0.0250001903623342,0.0,0.6,0.0,4,4
5,0,5,DT-Top1,0.002400018274784,0.0201999209821224,0.0015001278370618,0.0241000670939683,0.0,0.6,0.0,4,4
5,0,6,PF,0.0029001384973526,0.0207000412046909,0.0014998950064182,0.0251000747084617,0.0,0.6,0.0,2,2
5,0,6,Greedy-SLA,0.0068999361246824,0.0426999758929014,0.0020000152289867,0.0515999272465705,0.0,0.6,0.0,4,4
